Month,Electric Bill,Water Bill,Total Bill
Sep-18,115.46,37.26,152.72
Oct-18,118.6,33.12,151.72
Nov-18,68,20.7,88.7
Dec-18,84.52,35.88,120.4
Jan-19,69.03,27.6,96.63
Feb-19,57.5,22.08,79.58
Mar-19,67.2,20.7,87.9
Apr-19,34,27.6,61.6
May-19,73.5,26.22,99.72
Jun-19,37.5,16.56,54.06
Jul-19,84.5,37.26,121.76
Aug-19,134.33,38.64,172.97
Sep-19,128.04,45.55,173.59
Oct-19,105.49,51,156.49
Nov-19,81.25,44.3,125.55
Dec-19,123.32,92.46,215.78
Jan-20,119.65,92.46,212.11
Feb-20,119.13,34.5,153.63
Mar-20,979.66,NaN,979.66
