Year,Bahrain,Brunei Darussalam,Cyprus,Japan,Maldives,Oman,Qatar,Singapore,South Korea,United Arab Emirates
2000,74.5,74.4,78.1,81.1,69.6,72.6,76.2,78.3,76,74.2
2001,74.7,74.7,78.2,81.5,78,72.9,76.3,78.7,76.7,74.5
2002,74.9,74.8,78.4,81.8,71.8,73.3,76.4,79,77.1,74.7
2003,75,76,78.5,81.9,72.7,73.6,76.5,79.3,77.6,74.9
2004,75.2,76.4,78.6,82.1,73.4,74,76.6,79.7,78.2,75.1
2005,75.3,76.2,78.7,82,74.3,74.3,76.6,82,78.7,75.3
2006,75.5,76.3,78.8,82.4,75,74.7,76.6,87,79.4,75.4
2007,75.6,76,78.9,82.6,75.4,74.9,76.7,81.1,79.8,75.6
2008,75.8,77.2,79.1,82.7,75.9,75.2,76.8,81.4,83,75.8
2009,76,76.8,79.3,83,76.3,75.4,77,81.7,86,76
2010,76.1,76.9,79.5,83,76.7,75.6,77.3,82,87,76.2
2011,76.1,77.4,79.7,82.5,77.3,75.8,77.5,82.2,81.1,76.3
2012,76.5,78.3,80,83.3,77.6,76,77.8,82.5,81.2,76.5
2013,76.7,77.1,81,83.5,77.9,76.2,77.9,82.7,81.7,76.7
2014,76.8,77.6,83,83.5,78.2,76.4,78.1,82.9,82,76.9
2015,76.9,77.7,85,83.7,78.5,76.6,78.2,83.1,82.3,77.1
